City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,saldanha,-33.0117,17.9442,288.18,83,0,7.1,ZA,1680224339
292,kruisfontein,-34.0033,24.7314,285.86,93,14,2.47,ZA,1680224303
293,manicore,-5.8092,-61.3003,296.49,98,100,0.88,BR,1680224713
294,yulara,-25.2406,130.9889,294.76,44,100,6.94,AU,1680224351
295,mimoso do sul,-21.0642,-41.3664,296.21,84,100,0.86,BR,1680224713
296,tyrma,50.0833,132.1667,276.39,45,0,0.39,RU,1680224714
297,pevek,69.7008,170.3133,261.65,78,100,6.53,RU,1680224314
298,yumen,40.2833,97.2,283.68,14,5,3.17,CN,1680224271
299,fort nelson,58.8053,-122.7002,272.56,83,100,2.57,CA,1680224714
300,pytalovo,57.0679,27.9138,273.26,96,100,2.63,RU,1680224714
301,karasburg,-28.0167,18.75,290.73,27,5,3.49,NA,1680224714
302,weligama,5.9667,80.4167,297.54,91,6,1.41,LK,1680224714
303,dikson,73.5069,80.5464,247.0,100,100,3.9,RU,1680224258
304,ixtapa,20.7,-105.2,297.16,79,100,0.89,MX,1680224715
305,libreville,0.3925,9.4537,301.16,78,20,1.54,GA,1680224528
306,abalak,58.1286,68.5944,265.84,88,43,1.64,RU,1680224715
307,bandar-e lengeh,26.5579,54.8807,292.21,94,0,2.06,IR,1680224715
308,ngama,11.7833,17.1667,305.88,12,100,7.96,TD,1680224715
309,atbasar,51.8,68.3333,264.35,90,9,5.7,KZ,1680224716
310,tulum,20.2167,-87.4667,297.02,83,0,1.93,MX,1680224456
311,general roca,-39.0333,-67.5833,287.94,29,63,8.61,AR,1680224716
312,mangochi,-14.4782,35.2645,293.83,95,100,1.61,MW,1680224716
313,troitskiy,57.0603,63.7481,268.18,88,6,3.56,RU,1680224716
314,provideniya,64.3833,-173.3,268.35,58,0,9.0,RU,1680224317
315,sitka,57.0531,-135.33,278.09,65,100,5.14,US,1680224307
316,pahrump,36.2083,-115.9839,283.43,43,83,1.79,US,1680224365
317,dzhalil,55.0239,52.7358,272.38,78,100,5.68,RU,1680224717
318,antofagasta,-23.65,-70.4,293.75,92,76,2.7,CL,1680224535
319,lagos,6.5833,3.75,299.33,90,100,2.26,NG,1680224720
320,tres arroyos,-38.3739,-60.2798,286.14,44,82,4.44,AR,1680224721
321,morehead,37.2711,-87.1764,289.01,33,0,0.0,US,1680224473
322,isangel,-19.55,169.2667,303.21,84,75,0.0,VU,1680224559
323,shimoda,34.6667,138.95,289.87,72,100,0.81,JP,1680224313
324,kargasok,59.0556,80.8572,261.3,89,90,4.4,RU,1680224362
325,rudnogorsk,57.2639,103.7519,263.17,79,100,4.28,RU,1680224721
326,saint-georges,12.0564,-61.7485,298.97,73,20,3.09,GD,1680224722
327,sisimiut,66.9395,-53.6735,256.86,77,0,4.07,GL,1680224572
328,karratha,-20.7377,116.8463,301.63,70,9,1.87,AU,1680224295
329,ambulu,-8.345,113.6058,299.24,82,71,0.36,ID,1680224722
330,svetlyy,54.675,20.1347,281.18,98,100,6.12,RU,1680224605
331,deputatskiy,69.3,139.9,252.48,96,100,1.77,RU,1680224355
332,vrangel,42.7297,133.0839,282.17,39,0,3.04,RU,1680224723
333,esperantinopolis,-4.8667,-44.7083,295.71,98,100,1.08,BR,1680224723
334,college,64.8569,-147.8028,274.87,51,75,0.0,US,1680224341
335,virginia beach,36.8529,-75.978,281.49,68,0,0.45,US,1680224726
336,garissa,-0.4536,39.6401,299.69,72,16,5.8,KE,1680224726
337,siirt,37.9326,41.9403,277.08,78,100,1.84,TR,1680224726
